id,Venue Name,City,State,Country,Times Played,Last Played
273,Forest Park,St. Louis,MO,USA,1,2015-09-13
274,Forum Theatre,Binghamton,NY,USA,1,2014-10-29
275,Founders Brewing Co.,Grand Rapids,MI,USA,1,2017-06-17
276,"Foundry Nightclub, The",Dayton,OH,USA,1,2004-11-10
277,"Fountain, The",Indianapolis,IN,USA,1,2001-08-24
278,"Fox Theater, The",Oakland,CA,USA,9,2022-09-03
279,"Fox Theatre, The",Boulder,CO,USA,14,2008-09-01
280,Fraze Pavilion,Kettering,OH,USA,2,2019-08-25
281,"Frederick Fairgrounds, The",Frederick,MD,USA,2,2021-06-30
282,Frederik Meijer Gardens,Grand Rapids,MI,USA,6,2023-07-02
283,Freebird Live,Jacksonville Beach,FL,USA,3,2013-04-11
284,Freeman Arts Pavilion,Selbyville,DE,USA,1,2022-07-10
285,"Front Porch Music Festival, Blackhawk Farms, The",South Beloit,IL,USA,1,2000-09-09
286,Fuji Rock Festival,Niigata,,Japan,1,2006-07-30
287,Full Moon Resort,Big Indian,NY,USA,8,2013-06-20
288,"Funk Box, The",Baltimore,MD,USA,2,2004-02-21
289,G.A.B. Pavilion - Washington & Lee University,Lexington,VA,USA,1,2005-09-23
290,Galena Street & Cooper Avenue,Aspen,CO,USA,1,2015-03-13
291,Gameworks,Schaumburg,IL,USA,1,1999-09-02
292,Garcia's at the Capitol Theatre,Port Chester,NY,USA,1,2017-10-21
293,Garden In the Heights,Houston,TX,USA,1,2002-10-23
294,George's Majestic Lounge,Fayetteville,AR,USA,9,2025-04-25
295,Georgia Theatre,Athens,GA,USA,21,2025-01-16
296,Gerald R. Ford Amphitheater,Vail,CO,USA,2,2024-06-14
297,Gerstle's,Louisville,KY,USA,1,2003-02-04
298,GLC Live at 20 Monroe,Grand Rapids,MI,USA,1,2023-01-27
299,GMC Stadium,Sauget,IL,USA,1,2005-07-07
300,Good Music and Other Stuff,Asheville,NC,USA,1,2004-12-02
301,Good Records,Dallas,TX,USA,1,2012-04-21
302,Goose Island Brewery,Chicago,IL,USA,1,2003-02-23
303,"Gothic Theatre, The",Englewood,CO,USA,6,2010-07-04
304,Graceland Soundstage at Elvis Presley's Memphis,Memphis,TN,USA,1,2020-02-12
305,"Granada Theater, The",Lawrence,KS,USA,5,2005-02-28
306,"Granada Theater, The",Dallas,TX,USA,4,2008-09-12
307,"Grand Ballroom, The",New York,NY,USA,1,2008-10-13
