date,year,month,day,weekday,date_ec,venue,city,state,show_index_overall,show_index_withinyear,run_index,venue_full,link
04/15/03,2003,04,15,Tuesday,2003-04-15,ORPHEUM THEATER,BOSTON,MA,1990,7,1734,"ORPHEUM THEATER, BOSTON, MA",http://www.everydaycompanion.com/setlists/20030415a.asp
04/16/03,2003,04,16,Wednesday,2003-04-16,ORPHEUM THEATER,BOSTON,MA,1991,8,1734,"ORPHEUM THEATER, BOSTON, MA",http://www.everydaycompanion.com/setlists/20030416a.asp
04/17/03,2003,04,17,Thursday,2003-04-17,DAR CONSTITUTION HALL,WASHINGTON,DC,1992,9,1735,"DAR CONSTITUTION HALL, WASHINGTON, DC",http://www.everydaycompanion.com/setlists/20030417a.asp
04/18/03,2003,04,18,Friday,2003-04-18,DAR CONSTITUTION HALL,WASHINGTON,DC,1993,10,1735,"DAR CONSTITUTION HALL, WASHINGTON, DC",http://www.everydaycompanion.com/setlists/20030418a.asp
04/19/03,2003,04,19,Saturday,2003-04-19,TOWER THEATER,UPPER DARBY,PA,1994,11,1736,"TOWER THEATER, UPPER DARBY, PA",http://www.everydaycompanion.com/setlists/20030419a.asp
04/22/03,2003,04,22,Tuesday,2003-04-22,BEACON THEATRE,NEW YORK,NY,1995,12,1737,"BEACON THEATRE, NEW YORK, NY",http://www.everydaycompanion.com/setlists/20030422a.asp
04/23/03,2003,04,23,Wednesday,2003-04-23,BEACON THEATRE,NEW YORK,NY,1996,13,1737,"BEACON THEATRE, NEW YORK, NY",http://www.everydaycompanion.com/setlists/20030423a.asp
04/25/03,2003,04,25,Friday,2003-04-25,WALNUT CREEK AMPHITHEATER,RALEIGH,NC,1997,14,1738,"WALNUT CREEK AMPHITHEATER, RALEIGH, NC",http://www.everydaycompanion.com/setlists/20030425a.asp
04/26/03,2003,04,26,Saturday,2003-04-26,WALNUT CREEK AMPHITHEATER,RALEIGH,NC,1998,15,1738,"WALNUT CREEK AMPHITHEATER, RALEIGH, NC",http://www.everydaycompanion.com/setlists/20030426a.asp
04/27/03,2003,04,27,Sunday,2003-04-27,"CENTER CITYFEST, DOWNTOWN",CHARLOTTE,NC,1999,16,1739,"CENTER CITYFEST, DOWNTOWN, CHARLOTTE, NC",http://www.everydaycompanion.com/setlists/20030427a.asp
04/29/03,2003,04,29,Tuesday,2003-04-29,CIVIC CENTER,SAVANNAH,GA,2000,17,1740,"CIVIC CENTER, SAVANNAH, GA",http://www.everydaycompanion.com/setlists/20030429a.asp
04/30/03,2003,04,30,Wednesday,2003-04-30,TALLAHASSEE LEON CIVIC CENTER,TALLAHASSEE,FL,2001,18,1741,"TALLAHASSEE LEON CIVIC CENTER, TALLAHASSEE, FL",http://www.everydaycompanion.com/setlists/20030430a.asp
05/02/03,2003,05,02,Friday,2003-05-02,MUNICIPAL AUDITORIUM,NEW ORLEANS,LA,2002,19,1742,"MUNICIPAL AUDITORIUM, NEW ORLEANS, LA",http://www.everydaycompanion.com/setlists/20030502a.asp
05/03/03,2003,05,03,Saturday,2003-05-03,"NEW ORLEANS JAZZ AND HERITAGE FESTIVAL, FAIR GROUNDS RACE COURSE",NEW ORLEANS,LA,2003,20,1743,"NEW ORLEANS JAZZ AND HERITAGE FESTIVAL, FAIR GROUNDS RACE COURSE, NEW ORLEANS, LA",http://www.everydaycompanion.com/setlists/20030503a.asp
05/06/03,2003,05,06,Tuesday,2003-05-06,UPTOWN THEATER,KANSAS CITY,MO,2004,21,1744,"UPTOWN THEATER, KANSAS CITY, MO",http://www.everydaycompanion.com/setlists/20030506a.asp
05/07/03,2003,05,07,Wednesday,2003-05-07,UPTOWN THEATER,KANSAS CITY,MO,2005,22,1744,"UPTOWN THEATER, KANSAS CITY, MO",http://www.everydaycompanion.com/setlists/20030507a.asp
05/09/03,2003,05,09,Friday,2003-05-09,"WAREHOUSE DISTRICT, DOWNTOWN",BIRMINGHAM,AL,2006,23,1745,"WAREHOUSE DISTRICT, DOWNTOWN, BIRMINGHAM, AL",http://www.everydaycompanion.com/setlists/20030509a.asp
05/10/03,2003,05,10,Saturday,2003-05-10,"WAREHOUSE DISTRICT, DOWNTOWN",BIRMINGHAM,AL,2007,24,1745,"WAREHOUSE DISTRICT, DOWNTOWN, BIRMINGHAM, AL",http://www.everydaycompanion.com/setlists/20030510a.asp
05/13/03,2003,05,13,Tuesday,2003-05-13,THE PALACE THEATRE,LOUISVILLE,KY,2008,25,1746,"THE PALACE THEATRE, LOUISVILLE, KY",http://www.everydaycompanion.com/setlists/20030513a.asp
05/14/03,2003,05,14,Wednesday,2003-05-14,THE PALACE THEATRE,LOUISVILLE,KY,2009,26,1746,"THE PALACE THEATRE, LOUISVILLE, KY",http://www.everydaycompanion.com/setlists/20030514a.asp
05/16/03,2003,05,16,Friday,2003-05-16,MURAT THEATER,INDIANAPOLIS,IN,2010,27,1747,"MURAT THEATER, INDIANAPOLIS, IN",http://www.everydaycompanion.com/setlists/20030516a.asp
05/17/03,2003,05,17,Saturday,2003-05-17,MURAT THEATER,INDIANAPOLIS,IN,2011,28,1747,"MURAT THEATER, INDIANAPOLIS, IN",http://www.everydaycompanion.com/setlists/20030517a.asp
05/22/03,2003,05,22,Thursday,2003-05-22,ED SULLIVAN THEATER,NEW YORK,NY,2012,29,1748,"ED SULLIVAN THEATER, NEW YORK, NY",http://www.everydaycompanion.com/setlists/20030522a.asp
06/14/03,2003,06,14,Saturday,2003-06-14,BONNAROO MUSIC FESTIVAL,MANCHESTER,TN,2013,30,1749,"BONNAROO MUSIC FESTIVAL, MANCHESTER, TN",http://www.everydaycompanion.com/setlists/20030614a.asp
06/26/03,2003,06,26,Thursday,2003-06-26,KBCO 97.3FM STUDIOS,BOULDER,CO,2014,31,1750,"KBCO 97.3FM STUDIOS, BOULDER, CO",http://www.everydaycompanion.com/setlists/20030626a.asp
06/27/03,2003,06,27,Friday,2003-06-27,RED ROCKS,MORRISON,CO,2015,32,1751,"RED ROCKS, MORRISON, CO",http://www.everydaycompanion.com/setlists/20030627a.asp
06/28/03,2003,06,28,Saturday,2003-06-28,RED ROCKS,MORRISON,CO,2016,33,1751,"RED ROCKS, MORRISON, CO",http://www.everydaycompanion.com/setlists/20030628a.asp
06/29/03,2003,06,29,Sunday,2003-06-29,RED ROCKS,MORRISON,CO,2017,34,1751,"RED ROCKS, MORRISON, CO",http://www.everydaycompanion.com/setlists/20030629a.asp
07/01/03,2003,07,01,Tuesday,2003-07-01,AMPHITHEATER AT MIZZOU,COLUMBIA,MO,2018,35,1752,"AMPHITHEATER AT MIZZOU, COLUMBIA, MO",http://www.everydaycompanion.com/setlists/20030701a.asp
07/02/03,2003,07,02,Wednesday,2003-07-02,WESTFAIR AMPHITHEATER,COUNCIL BLUFFS,IA,2019,36,1753,"WESTFAIR AMPHITHEATER, COUNCIL BLUFFS, IA",http://www.everydaycompanion.com/setlists/20030702a.asp
07/04/03,2003,07,04,Friday,2003-07-04,"10,000 LAKES FESTIVAL",DETROIT LAKES,MN,2020,37,1754,"10,000 LAKES FESTIVAL, DETROIT LAKES, MN",http://www.everydaycompanion.com/setlists/20030704a.asp
07/05/03,2003,07,05,Saturday,2003-07-05,"10,000 LAKES FESTIVAL",DETROIT LAKES,MN,2021,38,1754,"10,000 LAKES FESTIVAL, DETROIT LAKES, MN",http://www.everydaycompanion.com/setlists/20030705a.asp
07/08/03,2003,07,08,Tuesday,2003-07-08,PROMOWEST PAVILION,COLUMBUS,OH,2022,39,1755,"PROMOWEST PAVILION, COLUMBUS, OH",http://www.everydaycompanion.com/setlists/20030708a.asp
07/09/03,2003,07,09,Wednesday,2003-07-09,MEADOW BROOK AMPHITHEATRE,ROCHESTER HILLS,MI,2023,40,1756,"MEADOW BROOK AMPHITHEATRE, ROCHESTER HILLS, MI",http://www.everydaycompanion.com/setlists/20030709a.asp
07/11/03,2003,07,11,Friday,2003-07-11,TOWER CITY AMPHITHEATRE,CLEVELAND,OH,2024,41,1757,"TOWER CITY AMPHITHEATRE, CLEVELAND, OH",http://www.everydaycompanion.com/setlists/20030711a.asp
07/12/03,2003,07,12,Saturday,2003-07-12,"MID-ATLANTIC MUSIC EXPERIENCE, STATE FAIR OF WEST VIRGINIA",LEWISBURG,WV,2025,42,1758,"MID-ATLANTIC MUSIC EXPERIENCE, STATE FAIR OF WEST VIRGINIA, LEWISBURG, WV",http://www.everydaycompanion.com/setlists/20030712a.asp
